invoiceid,customerid,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,total,last_update
55,8,2018-08-24 00:00:00+00,Grétrystraat 63,Brussels,,Belgium,1000,0.99,2023-01-04 12:05:40.420296+00
56,9,2018-09-06 00:00:00+00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,1.98,2023-01-04 12:05:40.422293+00
57,11,2018-09-06 00:00:00+00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,1.98,2023-01-04 12:05:40.424294+00
58,13,2018-09-07 00:00:00+00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,2023-01-04 12:05:40.42554+00
59,17,2018-09-08 00:00:00+00,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,2023-01-04 12:05:40.426638+00
60,23,2018-09-11 00:00:00+00,69 Salem Street,Boston,MA,USA,2113,8.91,2023-01-04 12:05:40.427692+00
61,32,2018-09-16 00:00:00+00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,2023-01-04 12:05:40.428734+00
62,46,2018-09-24 00:00:00+00,3 Chatham Street,Dublin,Dublin,Ireland,,0.99,2023-01-04 12:05:40.429866+00
63,47,2018-10-07 00:00:00+00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,1.98,2023-01-04 12:05:40.431131+00
64,49,2018-10-07 00:00:00+00,Ordynacka 10,Warsaw,,Poland,00-358,1.98,2023-01-04 12:05:40.432242+00
65,51,2018-10-08 00:00:00+00,Celsiusg. 9,Stockholm,,Sweden,11230,3.96,2023-01-04 12:05:40.433263+00
66,55,2018-10-09 00:00:00+00,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,2023-01-04 12:05:40.434883+00
67,2,2018-10-12 00:00:00+00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,8.91,2023-01-04 12:05:40.436385+00
68,11,2018-10-17 00:00:00+00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,2023-01-04 12:05:40.439106+00
69,25,2018-10-25 00:00:00+00,319 N. Frances Street,Madison,WI,USA,53703,0.99,2023-01-04 12:05:40.440723+00
70,26,2018-11-07 00:00:00+00,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98,2023-01-04 12:05:40.442175+00
71,28,2018-11-07 00:00:00+00,302 S 700 E,Salt Lake City,UT,USA,84102,1.98,2023-01-04 12:05:40.443374+00
72,30,2018-11-08 00:00:00+00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,3.96,2023-01-04 12:05:40.444458+00
73,34,2018-11-09 00:00:00+00,Rua da Assunção 53,Lisbon,,Portugal,,5.94,2023-01-04 12:05:40.445503+00
74,40,2018-11-12 00:00:00+00,"8, Rue Hanovre",Paris,,France,75002,8.91,2023-01-04 12:05:40.446516+00
75,49,2018-11-17 00:00:00+00,Ordynacka 10,Warsaw,,Poland,00-358,13.86,2023-01-04 12:05:40.44755+00
76,4,2018-11-25 00:00:00+00,Ullevålsveien 14,Oslo,,Norway,0171,0.99,2023-01-04 12:05:40.449346+00
77,5,2018-12-08 00:00:00+00,Klanova 9/506,Prague,,Czech Republic,14700,1.98,2023-01-04 12:05:40.450606+00
78,7,2018-12-08 00:00:00+00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,1.98,2023-01-04 12:05:40.452075+00
79,9,2018-12-09 00:00:00+00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,3.96,2023-01-04 12:05:40.455642+00
80,13,2018-12-10 00:00:00+00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,5.94,2023-01-04 12:05:40.457183+00
81,19,2018-12-13 00:00:00+00,1 Infinite Loop,Cupertino,CA,USA,95014,8.91,2023-01-04 12:05:40.458337+00
82,28,2018-12-18 00:00:00+00,302 S 700 E,Salt Lake City,UT,USA,84102,13.86,2023-01-04 12:05:40.459392+00
83,42,2018-12-26 00:00:00+00,"9, Place Louis Barthou",Bordeaux,,France,33000,0.99,2023-01-04 12:05:40.460439+00
84,43,2019-01-08 00:00:00+00,"68, Rue Jouvence",Dijon,,France,21000,1.98,2023-01-04 12:05:40.461481+00
85,45,2019-01-08 00:00:00+00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,1.98,2023-01-04 12:05:40.462512+00
86,47,2019-01-09 00:00:00+00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,3.96,2023-01-04 12:05:40.463525+00
87,51,2019-01-10 00:00:00+00,Celsiusg. 9,Stockholm,,Sweden,11230,6.94,2023-01-04 12:05:40.464559+00
88,57,2019-01-13 00:00:00+00,"Calle Lira, 198",Santiago,,Chile,,17.91,2023-01-04 12:05:40.465593+00
89,7,2019-01-18 00:00:00+00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,18.86,2023-01-04 12:05:40.466629+00
90,21,2019-01-26 00:00:00+00,801 W 4th Street,Reno,NV,USA,89503,0.99,2023-01-04 12:05:40.468704+00
91,22,2019-02-08 00:00:00+00,120 S Orange Ave,Orlando,FL,USA,32801,1.98,2023-01-04 12:05:40.471271+00
92,24,2019-02-08 00:00:00+00,162 E Superior Street,Chicago,IL,USA,60611,1.98,2023-01-04 12:05:40.472607+00
93,26,2019-02-09 00:00:00+00,2211 W Berry Street,Fort Worth,TX,USA,76110,3.96,2023-01-04 12:05:40.473704+00
94,30,2019-02-10 00:00:00+00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,5.94,2023-01-04 12:05:40.474802+00
95,36,2019-02-13 00:00:00+00,Tauentzienstraße 8,Berlin,,Germany,10789,8.91,2023-01-04 12:05:40.475864+00
96,45,2019-02-18 00:00:00+00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,21.86,2023-01-04 12:05:40.476898+00
97,59,2019-02-26 00:00:00+00,"3,Raj Bhavan Road",Bangalore,,India,560001,1.99,2023-01-04 12:05:40.477926+00
98,1,2019-03-11 00:00:00+00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,3.98,2023-01-04 12:05:40.478957+00
99,3,2019-03-11 00:00:00+00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,3.98,2023-01-04 12:05:40.479971+00
100,5,2019-03-12 00:00:00+00,Klanova 9/506,Prague,,Czech Republic,14700,3.96,2023-01-04 12:05:40.481024+00
101,9,2019-03-13 00:00:00+00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,5.94,2023-01-04 12:05:40.48206+00
102,15,2019-03-16 00:00:00+00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,9.91,2023-01-04 12:05:40.483099+00
103,24,2019-03-21 00:00:00+00,162 E Superior Street,Chicago,IL,USA,60611,15.86,2023-01-04 12:05:40.487449+00
104,38,2019-03-29 00:00:00+00,Barbarossastraße 19,Berlin,,Germany,10779,0.99,2023-01-04 12:05:40.489367+00
105,39,2019-04-11 00:00:00+00,"4, Rue Milton",Paris,,France,75009,1.98,2023-01-04 12:05:40.490912+00
106,41,2019-04-11 00:00:00+00,"11, Place Bellecour",Lyon,,France,69002,1.98,2023-01-04 12:05:40.492138+00
107,43,2019-04-12 00:00:00+00,"68, Rue Jouvence",Dijon,,France,21000,3.96,2023-01-04 12:05:40.493404+00
108,47,2019-04-13 00:00:00+00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,2023-01-04 12:05:40.494557+00
109,53,2019-04-16 00:00:00+00,113 Lupus St,London,,United Kingdom,SW1V 3EN,8.91,2023-01-04 12:05:40.495632+00
110,3,2019-04-21 00:00:00+00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,13.86,2023-01-04 12:05:40.496681+00
111,17,2019-04-29 00:00:00+00,1 Microsoft Way,Redmond,WA,USA,98052-8300,0.99,2023-01-04 12:05:40.497721+00
112,18,2019-05-12 00:00:00+00,627 Broadway,New York,NY,USA,10012-2612,1.98,2023-01-04 12:05:40.498754+00
113,20,2019-05-12 00:00:00+00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,1.98,2023-01-04 12:05:40.499772+00
114,22,2019-05-13 00:00:00+00,120 S Orange Ave,Orlando,FL,USA,32801,3.96,2023-01-04 12:05:40.501371+00
115,26,2019-05-14 00:00:00+00,2211 W Berry Street,Fort Worth,TX,USA,76110,5.94,2023-01-04 12:05:40.503109+00
116,32,2019-05-17 00:00:00+00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,8.91,2023-01-04 12:05:40.505308+00
117,41,2019-05-22 00:00:00+00,"11, Place Bellecour",Lyon,,France,69002,13.86,2023-01-04 12:05:40.506842+00
118,55,2019-05-30 00:00:00+00,421 Bourke Street,Sidney,NSW,Australia,2010,0.99,2023-01-04 12:05:40.507941+00
119,56,2019-06-12 00:00:00+00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,1.98,2023-01-04 12:05:40.508987+00
120,58,2019-06-12 00:00:00+00,"12,Community Centre",Delhi,,India,110017,1.98,2023-01-04 12:05:40.510029+00
121,1,2019-06-13 00:00:00+00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,3.96,2023-01-04 12:05:40.51108+00
122,5,2019-06-14 00:00:00+00,Klanova 9/506,Prague,,Czech Republic,14700,5.94,2023-01-04 12:05:40.512115+00
123,11,2019-06-17 00:00:00+00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,8.91,2023-01-04 12:05:40.513126+00
124,20,2019-06-22 00:00:00+00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,13.86,2023-01-04 12:05:40.514156+00
125,34,2019-06-30 00:00:00+00,Rua da Assunção 53,Lisbon,,Portugal,,0.99,2023-01-04 12:05:40.515203+00
126,35,2019-07-13 00:00:00+00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,1.98,2023-01-04 12:05:40.516222+00
127,37,2019-07-13 00:00:00+00,Berger Straße 10,Frankfurt,,Germany,60316,1.98,2023-01-04 12:05:40.51793+00
128,39,2019-07-14 00:00:00+00,"4, Rue Milton",Paris,,France,75009,3.96,2023-01-04 12:05:40.522335+00
129,43,2019-07-15 00:00:00+00,"68, Rue Jouvence",Dijon,,France,21000,5.94,2023-01-04 12:05:40.524017+00
130,49,2019-07-18 00:00:00+00,Ordynacka 10,Warsaw,,Poland,00-358,8.91,2023-01-04 12:05:40.525173+00
131,58,2019-07-23 00:00:00+00,"12,Community Centre",Delhi,,India,110017,13.86,2023-01-04 12:05:40.526245+00
132,13,2019-07-31 00:00:00+00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,0.99,2023-01-04 12:05:40.527286+00
133,14,2019-08-13 00:00:00+00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98,2023-01-04 12:05:40.528321+00
134,16,2019-08-13 00:00:00+00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98,2023-01-04 12:05:40.529357+00
135,18,2019-08-14 00:00:00+00,627 Broadway,New York,NY,USA,10012-2612,3.96,2023-01-04 12:05:40.530397+00
136,22,2019-08-15 00:00:00+00,120 S Orange Ave,Orlando,FL,USA,32801,5.94,2023-01-04 12:05:40.531465+00
137,28,2019-08-18 00:00:00+00,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,2023-01-04 12:05:40.532531+00
138,37,2019-08-23 00:00:00+00,Berger Straße 10,Frankfurt,,Germany,60316,13.86,2023-01-04 12:05:40.533836+00
139,51,2019-08-31 00:00:00+00,Celsiusg. 9,Stockholm,,Sweden,11230,0.99,2023-01-04 12:05:40.535745+00
140,52,2019-09-13 00:00:00+00,202 Hoxton Street,London,,United Kingdom,N1 5LH,1.98,2023-01-04 12:05:40.538103+00
141,54,2019-09-13 00:00:00+00,110 Raeburn Pl,"Edinburgh ",,United Kingdom,EH4 1HH,1.98,2023-01-04 12:05:40.539904+00
142,56,2019-09-14 00:00:00+00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,3.96,2023-01-04 12:05:40.541062+00
143,1,2019-09-15 00:00:00+00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,2023-01-04 12:05:40.542188+00
144,7,2019-09-18 00:00:00+00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,8.91,2023-01-04 12:05:40.543233+00
145,16,2019-09-23 00:00:00+00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,13.86,2023-01-04 12:05:40.544275+00
146,30,2019-10-01 00:00:00+00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,0.99,2023-01-04 12:05:40.545331+00
147,31,2019-10-14 00:00:00+00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98,2023-01-04 12:05:40.54636+00
148,33,2019-10-14 00:00:00+00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,1.98,2023-01-04 12:05:40.547383+00
149,35,2019-10-15 00:00:00+00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,3.96,2023-01-04 12:05:40.548475+00
150,39,2019-10-16 00:00:00+00,"4, Rue Milton",Paris,,France,75009,5.94,2023-01-04 12:05:40.549497+00
151,45,2019-10-19 00:00:00+00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,8.91,2023-01-04 12:05:40.550922+00
152,54,2019-10-24 00:00:00+00,110 Raeburn Pl,"Edinburgh ",,United Kingdom,EH4 1HH,13.86,2023-01-04 12:05:40.55536+00
153,9,2019-11-01 00:00:00+00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,0.99,2023-01-04 12:05:40.556954+00
154,10,2019-11-14 00:00:00+00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,1.98,2023-01-04 12:05:40.558081+00
155,12,2019-11-14 00:00:00+00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98,2023-01-04 12:05:40.559181+00
156,14,2019-11-15 00:00:00+00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,3.96,2023-01-04 12:05:40.560231+00
157,18,2019-11-16 00:00:00+00,627 Broadway,New York,NY,USA,10012-2612,5.94,2023-01-04 12:05:40.561296+00
158,24,2019-11-19 00:00:00+00,162 E Superior Street,Chicago,IL,USA,60611,8.91,2023-01-04 12:05:40.562313+00
159,33,2019-11-24 00:00:00+00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,13.86,2023-01-04 12:05:40.563386+00
160,47,2019-12-02 00:00:00+00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,0.99,2023-01-04 12:05:40.564423+00
161,48,2019-12-15 00:00:00+00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,1.98,2023-01-04 12:05:40.565461+00
162,50,2019-12-15 00:00:00+00,C/ San Bernardo 85,Madrid,,Spain,28015,1.98,2023-01-04 12:05:40.566484+00
163,52,2019-12-16 00:00:00+00,202 Hoxton Street,London,,United Kingdom,N1 5LH,3.96,2023-01-04 12:05:40.568278+00
164,56,2019-12-17 00:00:00+00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,5.94,2023-01-04 12:05:40.57229+00
165,3,2019-12-20 00:00:00+00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,8.91,2023-01-04 12:05:40.573794+00
166,12,2019-12-25 00:00:00+00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,13.86,2023-01-04 12:05:40.575254+00
167,26,2020-01-02 00:00:00+00,2211 W Berry Street,Fort Worth,TX,USA,76110,0.99,2023-01-04 12:05:40.576467+00
168,27,2020-01-15 00:00:00+00,1033 N Park Ave,Tucson,AZ,USA,85719,1.98,2023-01-04 12:05:40.577549+00
169,29,2020-01-15 00:00:00+00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,1.98,2023-01-04 12:05:40.578607+00
170,31,2020-01-16 00:00:00+00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,3.96,2023-01-04 12:05:40.579681+00
171,35,2020-01-17 00:00:00+00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,5.94,2023-01-04 12:05:40.580719+00
172,41,2020-01-20 00:00:00+00,"11, Place Bellecour",Lyon,,France,69002,8.91,2023-01-04 12:05:40.581794+00
173,50,2020-01-25 00:00:00+00,C/ San Bernardo 85,Madrid,,Spain,28015,13.86,2023-01-04 12:05:40.583065+00
174,5,2020-02-02 00:00:00+00,Klanova 9/506,Prague,,Czech Republic,14700,0.99,2023-01-04 12:05:40.584727+00
175,6,2020-02-15 00:00:00+00,Rilská 3174/6,Prague,,Czech Republic,14300,1.98,2023-01-04 12:05:40.588333+00
176,8,2020-02-15 00:00:00+00,Grétrystraat 63,Brussels,,Belgium,1000,1.98,2023-01-04 12:05:40.589731+00
177,10,2020-02-16 00:00:00+00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,3.96,2023-01-04 12:05:40.591078+00
178,14,2020-02-17 00:00:00+00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,5.94,2023-01-04 12:05:40.592247+00
179,20,2020-02-20 00:00:00+00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,8.91,2023-01-04 12:05:40.593332+00
180,29,2020-02-25 00:00:00+00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,13.86,2023-01-04 12:05:40.594378+00
181,43,2020-03-05 00:00:00+00,"68, Rue Jouvence",Dijon,,France,21000,0.99,2023-01-04 12:05:40.595417+00
182,44,2020-03-18 00:00:00+00,Porthaninkatu 9,Helsinki,,Finland,00530,1.98,2023-01-04 12:05:40.596478+00
183,46,2020-03-18 00:00:00+00,3 Chatham Street,Dublin,Dublin,Ireland,,1.98,2023-01-04 12:05:40.597526+00
184,48,2020-03-19 00:00:00+00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,3.96,2023-01-04 12:05:40.598544+00
185,52,2020-03-20 00:00:00+00,202 Hoxton Street,London,,United Kingdom,N1 5LH,5.94,2023-01-04 12:05:40.599608+00
186,58,2020-03-23 00:00:00+00,"12,Community Centre",Delhi,,India,110017,8.91,2023-01-04 12:05:40.603481+00
187,8,2020-03-28 00:00:00+00,Grétrystraat 63,Brussels,,Belgium,1000,13.86,2023-01-04 12:05:40.605712+00
188,22,2020-04-05 00:00:00+00,120 S Orange Ave,Orlando,FL,USA,32801,0.99,2023-01-04 12:05:40.60703+00
189,23,2020-04-18 00:00:00+00,69 Salem Street,Boston,MA,USA,2113,1.98,2023-01-04 12:05:40.608139+00
190,25,2020-04-18 00:00:00+00,319 N. Frances Street,Madison,WI,USA,53703,1.98,2023-01-04 12:05:40.609194+00
191,27,2020-04-19 00:00:00+00,1033 N Park Ave,Tucson,AZ,USA,85719,3.96,2023-01-04 12:05:40.610235+00
192,31,2020-04-20 00:00:00+00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,5.94,2023-01-04 12:05:40.611282+00
193,37,2020-04-23 00:00:00+00,Berger Straße 10,Frankfurt,,Germany,60316,14.91,2023-01-04 12:05:40.612314+00
194,46,2020-04-28 00:00:00+00,3 Chatham Street,Dublin,Dublin,Ireland,,21.86,2023-01-04 12:05:40.613345+00
195,1,2020-05-06 00:00:00+00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,0.99,2023-01-04 12:05:40.614376+00
196,2,2020-05-19 00:00:00+00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,2023-01-04 12:05:40.615425+00
197,4,2020-05-19 00:00:00+00,Ullevålsveien 14,Oslo,,Norway,0171,1.98,2023-01-04 12:05:40.618284+00
198,6,2020-05-20 00:00:00+00,Rilská 3174/6,Prague,,Czech Republic,14300,3.96,2023-01-04 12:05:40.621181+00
199,10,2020-05-21 00:00:00+00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,5.94,2023-01-04 12:05:40.623367+00
200,16,2020-05-24 00:00:00+00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,8.91,2023-01-04 12:05:40.625421+00
201,25,2020-05-29 00:00:00+00,319 N. Frances Street,Madison,WI,USA,53703,18.86,2023-01-04 12:05:40.62655+00
202,39,2020-06-06 00:00:00+00,"4, Rue Milton",Paris,,France,75009,1.99,2023-01-04 12:05:40.62764+00
203,40,2020-06-19 00:00:00+00,"8, Rue Hanovre",Paris,,France,75002,2.98,2023-01-04 12:05:40.628695+00
